Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,combined_text
Partner plank band row,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,Strength,Abdominals,Bands,Intermediate,0.0,,partner plank band row the partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. this technique can be done for time or reps in any ab-focused workout.
Banded crunch isometric hold,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Abdominals,Bands,Intermediate,,,"banded crunch isometric hold the banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. the band adds resistance and continuous tension to this popular exercise."
FYR Banded Plank Jack,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",Strength,Abdominals,Bands,Intermediate,,,"fyr banded plank jack the banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. the plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up."
Banded crunch,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Abdominals,Bands,Intermediate,,,"banded crunch the banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. the band adds resistance and continuous tension to this popular exercise."
Crunch,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Bands,Intermediate,,,"crunch the crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. it has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. it can be performed for time or reps as part of the ab-focused portion of any workout."
Decline band press sit-up,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Bands,Intermediate,,,"decline band press sit-up the decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. it also taxes the muscles of the shoulders and upper back. sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
FYR2 Banded Frog Pump,,Strength,Abdominals,Bands,Intermediate,,,fyr2 banded frog pump 
Band low-to-high twist,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Abdominals,Bands,Intermediate,,,"band low-to-high twist the band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. it is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout."
Barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,8.9,Average,"barbell roll-out the barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. it is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core."
Barbell Ab Rollout - On Knees,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,8.9,Average,"barbell ab rollout - on knees the barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. it is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core."
Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Intermediate,8.5,Average,"decline bar press sit-up the decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. it also challenges the shoulders and upper back to move the weight. weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Abdominals,Barbell,Beginner,8.3,Average,"bench barbell roll-out the bench barbell roll-out is a challenging exercise targeting the abdominals. it is similar to using an ab roller, but using a barbell allows for a wider grip. placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body."
Barbell Side Bend,,Strength,Abdominals,Barbell,Beginner,7.0,Average,barbell side bend 
Seated bar twist,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Strength,Abdominals,Barbell,Intermediate,4.7,Average,"seated bar twist the seated bar twist is a core exercise meant to strengthen the obliques. it is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a pvc pipe. it can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency."
Single-arm landmine pull and press,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",Strength,Abdominals,Barbell,Intermediate,,,"single-arm landmine pull and press the single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. it combines a pull off the floor with rotation and finishes with a press. it is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight."
Barbell Ab Roll Out - Gethin Variation,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,,,"barbell ab roll out - gethin variation the barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. it is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core."
30 Barbell Floor Wiper,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.",Strength,Abdominals,Barbell,Intermediate,,,"30 barbell floor wiper the barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. it targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles."
30 Barbell Roll-Out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,,,"30 barbell roll-out the barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. it is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core."
Decline plate sit-up,"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Intermediate,,,"decline plate sit-up the decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
KV Barbell Hip Thrust,,Strength,Abdominals,Barbell,Intermediate,,,kv barbell hip thrust 
